participant,trial_counter,hypothesis_userinput,hypothesis_level,hypothesis_true_noted_characteristics,hypothesis_characteristic_type
p23861,1,animal,sup,,
p23861,2,ball,bas,,
p23861,3,living thing,hyp,,
p23861,4,vehicle,sup,,
p23861,5,edible,sup,,
p23861,6,sea creature,sup,,
p245452,1,peeper,bas,,
p245452,2,ball,bas,,
p245452,3,dalmation,sub,,
p245452,4,fish,bas,,
p245452,5,transportation,sup,,
p245452,6,apple,bas,,
p881133,1,Pepper,bas,,
p881133,2,basketball,sub,,
p881133,3,dog,bas,,
p881133,4,school bus,sub,,
p881133,5,apple,bas,,
p881133,6,seafish,sup,,
p783430,1,hot pepper,bas,,
p783430,2,ball,bas,,
p783430,3,dog,bas,,
p783430,4,apple,bas,,
p783430,5,bus,bas,,
p783430,6,red fish,sub,,
p583225,1,fruits,sup,,
p583225,2,sea animals,sup,,
p583225,3,buses,bas,,
p583225,4,dogs,bas,,
p583225,5,pepper,bas,,
p583225,6,ball,bas,,
p779459,1,Dog,bas,,
p779459,2,peper,bas,,
p779459,3,basketball,sub,,
p779459,4,sea fish,sup,,
p779459,5,bus,bas,,
p779459,6,apple,bas,,
p479235,1,mode of transportation,sup,,
p479235,2,red apple,sub,,
p479235,3,animal of the ocean,sup,,
p479235,4,green pepper,sub,,
p479235,5,dog,bas,,
p479235,6,ball,bas,,
p968934,1,pepper,bas,,
p968934,2,Dog,bas,,
p968934,3,ball,bas,,
p968934,4,bus,bas,,
p968934,5,clown fish,sub,,
p968934,6,apple,bas,,
p293426,1,fish,bas,,
p293426,2,bus,bas,,
p293426,3,fruit,sup,,
p293426,4,ball,bas,,
p293426,5,dog,bas,,
p293426,6,pepper,bas,,
p13002,1,sea animal,sup,,
p13002,2,vehicle,sup,,
p13002,3,fruit,sup,,
p13002,4,sport equipment,sup,,
p13002,5,dog,bas,,
p13002,6,jalapeno,bas,,
p137058,1,its a type of fish,sub/bas?,,
p137058,2,a school bus,sub,,
p137058,3,a type of apple,sub/bas?,,
p137058,4,type of dog,sub/bas?,,
p137058,5,pepper,bas,,
p137058,6,ball,bas,,
p266523,1,Ball/stick shaped holdable object,hyp,,
p266523,2,A rounded object,hyp????,"<-- in test, they picked balls, celery, potato, and rabbit?? but they didn't pick the frisbee? and in sampling they only confirmed the word applied to another sports sub object (basketball)",
p266523,3,Dog,bas,,
p266523,4,bus,bas,,
p266523,5,small fish,bas,,
p266523,6,fruit,sup,,
p761430,1,fruit,sup,,
p761430,2,sea creature,sup,,
p761430,3,bus,bas,,
p761430,4,organic/life,hyp,,
p761430,5,ball,bas,,
p761430,6,dalmation,sub,,
p829057,1,bus,bas,,
p829057,2,apple,bas,,
p829057,3,sea animal,sup,,
p829057,4,dog,bas,,
p829057,5,pepper,bas,,
p829057,6,sport,sup,,
p425321,1,ball,bas,,
p425321,2,pepper,bas,,
p425321,3,animal,sup,,
p425321,4,fish,bas,,
p425321,5,car,sup,,
p425321,6,apple,bas,,
p705020,1,basket ball,sub,,
p705020,2,chile peppers,bas,,
p705020,3,animals,sup,,
p705020,4,school bus,sub,,
p705020,5,apple,bas,,
p705020,6,goldfish,sub,,
p535146,1,Ball,bas,,
p535146,2,pepper,bas,,
p535146,3,animal,sup,,
p535146,4,fish,bas,,
p535146,5,bus,bas,,
p535146,6,fruit,sup,,
p986293,1,pepper,bas,,
p986293,2,sports item,sup,,
p986293,3,dog,bas,,
p986293,4,school bus,sub,,
p986293,5,apple,bas,,
p986293,6,fish,bas,,
p714976,1,apple,bas,,
p714976,2,fish,bas,,
p714976,3,vehicle,sup,,
p714976,4,pepper,bas,,
p714976,5,ball,bas,,
p714976,6,dog,bas,,
p869873,1,sport,sup,,
p869873,2,dog,bas,,
p869873,3,green,sup?,,
p869873,4,bus,bas,,
p869873,5,fish,bas,,
p869873,6,fruit,sup,,
p483313,1,pepper,bas,,
p483313,2,basketball,sub,,
