subject_id,experiment_version,stimulus_parameter,training_image_order_parameter,seed,catk_parameter_1,catk_parameter_2,age_group,room,age_mos,age_day_count,experimenter,pilot,exclude,complete,notes,double checked init file?,
p001,pilot_1A,a,a,100,0,0,6,fishbowl,73,11,JC,yes,yes,yes,"great appointment! kid was shy but very cooperative; no break taken, just went straight through; introduced sticker reward during the first test; occasionally needed to support child tapping during sampling phase (child tapped an object, but the tap wasn't recognized in two instances, so the experimenter tapped the object for the child)",,link to google forms: https://forms.gle/sKkVoDHmVVFohq4q9
p002,pilot_1A,b,b,101,1,1,5,fishbowl,63,5,JC,yes,yes,yes,"super confident kid; procedure ran smoothly (mechanically); kid was picking objects in the test trial strangely (aka 4 red apples, picked red apple and trucks and dogs; or a radish sample image that was a ___ but kid didn't pick that during the test), there didn't seem to be much structure to the test trial choices but the kid seemed pretty confident; kid didn't take a break; gave first sticker to mom",,
p003,pilot_1B,0,0,100,0,0,6,fishbowl,80,22,JC,yes,yes,yes,"overall, successful appointment; kid went a bit fast, i needed to tell kid to slow down and put hands on the mat; kid still understood task well and was super enthusiastic; sound didn’t work on ONE (first task, 1-object) b/c iPad went to sleep, didn’t interfere w task though",,
p004,exp_v1,0,0,101,0,5,7,fishbowl,90,19,JC,no,no,yes,"experiment ran well! no problems with procedure or running the study, kid was very sassy about already getting the task. kid did ask something about ""what if i pick wrong"" after the sampling task, and i emphasized that there is no wrong answer on that sampling task, because you're just exploring; the only time you're trying to get only the [label]s and nothing else is during the test. recording wasn't taken b/c of a miscommunication (we never started recording). for word_5, he pointed during sampling at a basic-level bus and said ""that's a [label] too"" but sampled the sub-level bus.",,
p005,exp_v1,0,1,101,1,4,6,fishbowl,79,8,JC,no,no,yes,"amazing appointment! kid said she had a lot of fun, listened to my ""hands on the mat"" commands when needed (more so at the end when she already understood the task). kid got really excited by all the stickers. a few times, on the 1-trial tasks, she seemed less sure and would try to ask me ""is this a [label]?"" to which i'd just respond ""ms. green/purple wants your help to find all the [label]s and nothing else."" on trial #5, she tried to pick the basic-level bus, but it didn't go through and ended up switching to pick the train cart thing (sup-level)",,
p006,exp_v1,1,0,101,2,3,5,fishbowl,65,12,JC,no,no,yes,"super good appointment, everything went smoothly. one first trial, kid tried to ask me for help during the trial but i just emphasized that ms. green wants your help to find all the [label]s and nothing else. after that first trial, she didn't ask me again and would just make her own choices. parent (mom) came into the room with us because kid wanted that.",,
p007,exp_v1,1,1,101,3,2,7,fishbowl,91,7,JC,no,no,yes,"overall, probably a fine appointment. kid was very sassy towards the end. wouldn't listen to ""hands on the mat"" or just any instruction about us taking turns tapping. i had to start putting my hand physically in front of hers to stop her from tapping the ipad. she started speeding up too quickly for me to say my instructions, and so i had to tell her to slow down and stop tapping. then she started getting upset. last trial, she was getting very impatient. i made her wait until i finished my instructions, then allowed her to get one tap in to show her we were still taking turns, and thne she tapped through the training part (the playing of the word's audio) too quickly, but i just made sure to say the word so she still heard it. when i asked her what this last word meant, she refused to say anything for a long time--started having a temper tantrum--until finally she mumbled ""green pepper"" and i asked her to confirm that's what she said (i heard it pretty clearly, but just wanted to be certain), and she kept refusing to repeat it until she finally mumbled it just a bit louder. she didn't want stickers or anything, and was upset with mom after the appt. but overall, she understood the task and completed it--just not very willingly or happily :(",,
p008,exp_v1,0,0,102,4,1,5,fishbowl,62,26,JC,no,no,yes,"good appointment, she was really good about taking turns on the ipad for most of the tasks, i did have to remind her hands on the mat during one of the sampling trials while i was giving instructions, but didn't cause any issues. on the first trial, i asked her, ""what does ms. [alien] call this?"" and she said ""pepper?"" but then sampled another green pepper and ultimately answered, to ""what do you think this means"" that [label] meant cucumber haha. she also had a few trials where she said the label meant ""dog"" or ""fish"" or ""apple"" but didn't generalize to all dogs, fishes, or apples during test. one trial, i think the bus trial so for word_4, she was a bit hesitant and looked up to ask me if the non-school bus was a [label] too, and i just said ms. [alien] wants your help to find all the [label]s and nothing else! and on trial 3, the label was tibble for a basketball image, and participant repeated the word as ""ti-ball"" instead of ""tibble"" so not sure if that has any effect on how she learned the word (she ended up saying the label meant basketball)",,
p009,exp_v1,0,1,102,5,0,7,fishbowl,85,14,JC,no,no,yes,"super smooth appointment, she asked what i meant on the first trial's sampling task, so i said she got to ask the alien about only one of these 4 items and if it's a [label] or not a [label], and she got it after that. it was so cute, she was asking ""is this a [label]"" for every sampling tap she made. other than that, everything ran super smoothly, and she said she had a lot of fun. one note, also noted in the form, is that for the last trial she did, word_6, she couldn't come up with an answer for what do you think this means, since it was a bus and a strawberry (sampled), and so she just said it's two different things that are called the same word",,
p010,exp_v1,1,0,102,0,4,5,fishbowl,65,8,JC,no,no,yes,"good appointment! kid seemed like she really understood the task, was patient for the most part with taking turns tapping. was really exciting about the new alien stickers ""it's your friend!!!"" she said when she picked out the ms. purple sticker. only note is that she didnt seem to know what to call certain items during the ""what do you think this means"" task, called peppers ""spices"" and there was one trial with a basketball, badminton birdie, ping pong paddle, and cat, and she said the label meant ""ball and cat"" but said she didn't know what to call the other items",,
