study,subject_id,age,gender,l1,l1_percent,languages_additional,race,dev_concerns,dev_concerns_details,education,country_origin,income
kitty-act,p004,7,m,english,100,NA,White,No,NA,Bachelor's degree,usa,"$100,000 to $149,999"
kitty-act,p005,6,f,english,80,persian,White,No,NA,Doctoral degree,"usa,iran","$200,000 or more"
kitty-act,p006,5,f,english,100,japanese,"White,Asian",No,NA,Bachelor's degree,"usa,japan","$150,000 to $199,999"
kitty-act,p007,7,f,english,90,chinese,Asian,No,NA,Master's degree,usa,"$200,000 or more"
kitty-act,p008,5,f,english,100,NA,White,No,NA,Master's degree,"usa,germany","$200,000 or more"
kitty-act,p009,7,f,english,100,NA,White,No,NA,Master's degree,"usa,germany","$200,000 or more"
kitty-act,p010,5,f,english,90,hindi,Asian,No,NA,Master's degree,india,"$100,000 to $149,999"
kitty-act,p011,7,f,english,100,NA,White,No,NA,Master's degree,usa,"$150,000 to $199,999"
kitty-act,p012,5,f,english,100,NA,"White,Black or African American,Hispanic or Latino",No,NA,Bachelor's degree,usa,"$150,000 to $199,999"
kitty-act,p013,6,f,english,99,cantonese,"White,Asian",No,NA,Master's degree,"usa,hong kong","$150,000 to $199,999"
kitty-act,p014,8,m,english,70,spanish,Hispanic or Latino,No,NA,Master's degree,usa,"$100,000 to $149,999"
kitty-act,p015,8,f,english,100,NA,White,No,NA,Doctoral degree,usa,"$200,000 or more"
kitty-act,p016,6,m,english,100,NA,White,No,NA,Doctoral degree,usa,"$200,000 or more"
kitty-act,p017,6,f,english,80,spanish,"White,Hispanic or Latino",No,NA,Bachelor's degree,"ecuador,peru","$50,000 to $99,999"
kitty-act,p018,5,m,english,100,NA,White,No,NA,Doctoral degree,usa,"$200,000 or more"
kitty-act,p019,8,f,english,100,NA,White,No,NA,Elementary/ primary school,usa,"$150,000 to $199,999"
kitty-act,p020,7,m,english,100,NA,White,No,NA,Bachelor's degree,usa,"$200,000 or more"
kitty-act,p021,5,m,english,100,NA,White,No,NA,Bachelor's degree,usa,"$200,000 or more"
kitty-act,p022,7,m,english,100,korean,Asian,No,NA,Elementary/ primary school,"usa,korea","$200,000 or more"
kitty-act,p023,6,f,english,100,korean,Asian,No,NA,Elementary/ primary school,"usa,korea","$200,000 or more"
kitty-act,p024,7,m,english,80,hindi,Asian,No,NA,Bachelor's degree,india,"$200,000 or more"
kitty-act,p025,8,f,english,60,"mandarin,gujarati",Asian,No,NA,Master's degree,india,"$200,000 or more"
kitty-act,p026,5,f,english,60,mandarin,Asian,No,NA,Master's degree,india,"$200,000 or more"
kitty-act,p027,6,m,english,100,NA,White,No,NA,Bachelor's degree,usa,"$150,000 to $199,999"
kitty-act,p028,8,f,english,90,turkish,"White,Turkish",No,NA,Doctoral degree,"usa,turkey","$200,000 or more"
kitty-act,p029,8,m,english,90,"korean,chinese",Asian,No,NA,Bachelor's degree,"china,korea","$100,000 to $149,999"
kitty-act,p030,6,m,english,90,"korean,chinese",Asian,No,NA,Bachelor's degree,"china,korea","$100,000 to $149,999"
kitty-act,p031,8,m,english,100,NA,White,No,NA,Master's degree,usa,"$150,000 to $199,999"
kitty-act,p032,5,m,english,100,NA,White,No,NA,Master's degree,usa,"$150,000 to $199,999"
kitty-act,p033,5,m,english,99,tagalog,"White,Asian",No,NA,NA,philippines,Prefer not to answer
kitty-act,p034,7,f,english,100,NA,White,Yes,grade level behind in reading,Master's degree,usa,"$150,000 to $199,999"
kitty-act,p035,7,m,english,100,NA,Black or African American,Yes,reading and retention,Elementary/ primary school,usa,"$50,000 to $99,999"
kitty-act,p036,6,m,tamil,80,"english,hindi,malayalam,arabic",Asian,No,NA,Elementary/ primary school,abu dhabi,"$200,000 or more"
kitty-act,p037,8,m,english,100,spanish,White,No,NA,Bachelor's degree,usa,"$150,000 to $199,999"
kitty-act,p038,7,m,english,90,polish,"White,Hispanic or Latino",No,NA,Doctoral degree,usa,"$100,000 to $149,999"
kitty-act,p039,8,m,english,95,japanese,"White,Asian",No,NA,Doctoral degree,"usa,japan",Prefer not to answer
kitty-act,p040,6,m,english,96,japanese,"White,Asian",No,NA,Doctoral degree,"usa,japan",Prefer not to answer
kitty-act,p041,5,m,english,100,"ukrainian,polish,spanish","White,Hispanic or Latino",No,NA,Elementary/ primary school,usa,"$100,000 to $149,999"
