subject,stim_set,number_training_image_order_index,number_training_images,exclude_participant,trial_index,current_training_images,current_training_label,name_check,shuffled_sampling_images,current_category_label_level,current_category_kind,current_category_training_level,sampled_image,sampled_label,sampled_imagename,sampled_imagelabel,sampled_category_kind_short,sampled_category_kind,sampled_category_level,within_category_sample,within_category_sample_f,sampled_category_level_kind_info,trial_number,sampling_choice_type,chance_consistent,name_check_edited,levenshtein_distance
p23861,0,1,3,0,8,"[""stims/ani_c3_sub1.jpg"",""stims/ani_c3_bas1.jpg"",""stims/ani_c3_bas2.jpg""]",tibble,tibble,"[""stims/ani_c3_sup3.jpg"",""stims/ani_c3_bas3.jpg"",""stims/ani_c3_sub4.jpg"",""stims/spo_c2_sup4.jpg""]",broad,animals,intermediate,stims/ani_c3_sup3.jpg,tibble,ani_c3_sup3.jpg,ani_c3_sup3,ani,animals,sup,1,within-category,sup,1,explore,0.5,tibble,0
p23861,0,1,3,0,15,"[""stims/spo_c2_sub1.jpg"",""stims/spo_c2_sub2.jpg"",""stims/spo_c2_sub3.jpg""]",sibu,sibu,"[""stims/veg_c1_sup4.jpg"",""stims/spo_c2_bas3.jpg"",""stims/spo_c2_sup3.jpg"",""stims/spo_c2_sub4.jpg""]",intermediate,sports,narrow,stims/spo_c2_bas3.jpg,sibu,spo_c2_bas3.jpg,spo_c2_bas3,spo,sports,bas,1,within-category,bas,2,explore,0.25,sibu,0
p23861,0,1,3,0,22,"[""stims/veg_c1_sub1.jpg"",""stims/veg_c1_sup1.jpg"",""stims/veg_c1_sup2.jpg""]",roozer,roozer,"[""stims/veg_c1_bas3.jpg"",""stims/veg_c1_sub4.jpg"",""stims/veg_c1_sup3.jpg"",""stims/ani_c3_sup4.jpg""]",hypernym,vegetables,broad,stims/ani_c3_sup4.jpg,roozer,ani_c3_sup4.jpg,ani_c3_sup4,ani,animals,sup,0,other-category,outside_category,3,explore,0.75,roozer,0
p23861,0,1,1,0,29,"[""stims/veh_c3_sub1.jpg""]",guffy,guffy,"[""stims/veh_c3_bas3.jpg"",""stims/veh_c3_sup3.jpg"",""stims/veh_c3_sub4.jpg"",""stims/fru_c1_sup4.jpg""]",intermediate,vehicles,narrow,stims/fru_c1_sup4.jpg,not a guffy,fru_c1_sup4.jpg,fru_c1_sup4,fru,fruit,sup,0,other-category,outside_category,4,explore,0.25,guffy,0
p23861,0,1,1,0,36,"[""stims/fru_c1_sub1.jpg""]",kita,kita,"[""stims/fru_c1_sup3.jpg"",""stims/fru_c1_bas3.jpg"",""stims/sea_c2_sup4.jpg"",""stims/fru_c1_sub4.jpg""]",hypernym,fruit,broad,stims/sea_c2_sup4.jpg,kita,sea_c2_sup4.jpg,sea_c2_sup4,sea,sea,sup,0,other-category,outside_category,5,explore,0.25,kita,0
p23861,0,1,1,0,43,"[""stims/sea_c2_sub1.jpg""]",beppo,beppo,"[""stims/sea_c2_sup3.jpg"",""stims/sea_c2_sub4.jpg"",""stims/veh_c3_sup4.jpg"",""stims/sea_c2_bas3.jpg""]",broad,sea,intermediate,stims/veh_c3_sup4.jpg,not a beppo,veh_c3_sup4.jpg,veh_c3_sup4,veh,vehicles,sup,0,other-category,outside_category,6,explore,0.25,beppo,0
p245452,0,0,1,0,8,"[""stims/veg_c1_sub1.jpg""]",roozer,roozer,"[""stims/spo_c2_sup4.jpg"",""stims/veg_c1_sub4.jpg"",""stims/veg_c1_bas3.jpg"",""stims/veg_c1_sup3.jpg""]",broad,vegetables,intermediate,stims/veg_c1_sub4.jpg,roozer,veg_c1_sub4.jpg,veg_c1_sub4,veg,vegetables,sub,1,within-category,sub,1,confirm,0.25,roozer,0
p245452,0,0,1,0,15,"[""stims/spo_c2_sub1.jpg""]",tibble,tibble,"[""stims/spo_c2_sup3.jpg"",""stims/spo_c2_bas3.jpg"",""stims/spo_c2_sub4.jpg"",""stims/ani_c3_sup4.jpg""]",broad,sports,broad,stims/spo_c2_bas3.jpg,tibble,spo_c2_bas3.jpg,spo_c2_bas3,spo,sports,bas,1,within-category,bas,2,explore,0.25,tibble,0
p245452,0,0,1,0,22,"[""stims/ani_c3_sub1.jpg""]",kita,kita,"[""stims/ani_c3_sub4.jpg"",""stims/ani_c3_sup3.jpg"",""stims/ani_c3_bas3.jpg"",""stims/veg_c1_sup4.jpg""]",narrow,animals,narrow,stims/ani_c3_bas3.jpg,not a kita,ani_c3_bas3.jpg,ani_c3_bas3,ani,animals,bas,1,within-category,bas,3,explore,0.25,kita,0
p245452,0,0,3,0,29,"[""stims/sea_c2_sub1.jpg"",""stims/sea_c2_sub2.jpg"",""stims/sea_c2_sub3.jpg""]",guffy,guffy,"[""stims/sea_c2_bas3.jpg"",""stims/sea_c2_sup3.jpg"",""stims/fru_c1_sup4.jpg"",""stims/sea_c2_sub4.jpg""]",intermediate,sea,narrow,stims/sea_c2_bas3.jpg,guffy,sea_c2_bas3.jpg,sea_c2_bas3,sea,sea,bas,1,within-category,bas,4,explore,0.25,guffy,0
